role,ik,drug_name,compound_name,n_evaluable_endpoints,n_selected_endpoints,sum_selected_delta_p,maximum_selected_delta_p,candidate_rank
Correction,UNBRKDKAWYKMIV,BRD-K34685430,BRD-K34685430,4,1,0.0259580207637587,0.0259580207637587,204
Correction,QANMHLXAZMSUEX,kinetin,Kinetin,2,1,0.0259121023381661,0.0259121023381661,205
Correction,BSYNRYMUTXBXSQ,aspirin,Aspirin,3,1,0.0257985177786599,0.0257985177786599,206
Correction,LSLYOANBFKQKPT,fenoterol,Fenoterol,4,1,0.0257248906434606,0.0257248906434606,207
Correction,VGLGVJVUHYTIIU,altizide,Altizide,3,1,0.0254442912830651,0.0254442912830651,208
Correction,DZZWHBIBMUVIIW,sparfloxacin,Sparfloxacin,3,1,0.0253703871383824,0.0253703871383824,209
Correction,YEJCDKJIEMIWRQ,linopirdine,Linopirdine,4,1,0.0252289453515831,0.0252289453515831,210
Correction,VLPIATFUUWWMKC,mexiletine,Mexiletine,4,1,0.0251904072676355,0.0251904072676355,211
Correction,AUNGANRZJHBGPY,riboflavin,Riboflavin,3,1,0.0251767627594524,0.0251767627594524,212
Correction,MNSCVRXKDINXEY,piroxicam,Piroxicam,3,1,0.0250189897596404,0.0250189897596404,213
Correction,YGCODSQDUUUKIV,zoxazolamine,Zoxazolamine,4,1,0.0250049491961382,0.0250049491961382,214
Correction,UWWDHYUMIORJTA,moexipril,Moexipril,4,1,0.0249833392213542,0.0249833392213542,215
Correction,UXABARREKCJULM,imiloxan,Imiloxan,3,1,0.0249401962346818,0.0249401962346818,216
Correction,VACCAVUAMIDAGB,sulfamethizole,Sulfamethizole,3,1,0.0248776432230013,0.0248776432230013,217
Correction,NFACJZMKEDPNKN,metrifonate,Metrifonate,3,1,0.0247001857188602,0.0247001857188602,218
Correction,AMDBBAQNWSUWGN,ioversol,Ioversol,3,1,0.0246422353010699,0.0246422353010699,219
Correction,XOFYZVNMUHMLCC,prednisone,Prednisone,4,1,0.0245702032235876,0.0245702032235876,220
Correction,UOZODPSAJZTQNH,paromomycin,Paromomycin,3,1,0.0245200564469556,0.0245200564469556,221
Correction,OCUJLLGVOUDECM,dipivefrine,Dipivefrine,2,1,0.024485769455634,0.024485769455634,222
Correction,BQSJTQLCZDPROO,febuxostat,Febuxostat,1,1,0.0244585078196882,0.0244585078196882,223
Correction,OELFLUMRDSZNSF,nateglinide,Nateglinide,3,1,0.0244457916101382,0.0244457916101382,224
Correction,DMJNNHOOLUXYBV,meropenem,Meropenem,2,1,0.0244144658343696,0.0244144658343696,225
Correction,KBDSLGBFQAGHBE,limonin,Limonin,3,1,0.0243104860127422,0.0243104860127422,226
Correction,IKGXIBQEEMLURG,rutin,Rutin,4,1,0.0243064736244381,0.0243064736244381,227
Correction,UVTNFZQICZKOEM,disopyramide,Disopyramide,4,1,0.0243062568153979,0.0243062568153979,228
Correction,NDTSRXAMMQDVSW,benzthiazide,Benzthiazide,4,1,0.0241959662906709,0.0241959662906709,229
Correction,BAMTVATUENLIOP,lymecycline,Lymecycline,3,1,0.0241326546288646,0.0241326546288646,230
Correction,TYYBFXNZMFNZJT,ioxaglic-acid,Ioxaglic Acid,3,1,0.0241260382706372,0.0241260382706372,231
Correction,ZPFXAOWNKLFJDN,alverine,Alverine,4,1,0.0241118380040906,0.0241118380040906,232
Correction,TZXKOCQBRNJULO,deferiprone,Deferiprone,3,1,0.0241116015656804,0.0241116015656804,233
Correction,ZZIKIHCNFWXKDY,myriocin,Myriocin,4,1,0.0240738013810816,0.0240738013810816,234
Correction,OYPPVKRFBIWMSX,zimelidine,Zimelidine,2,1,0.0240728662843842,0.0240728662843842,235
Correction,WAZQAZKAZLXFMK,deracoxib,Deracoxib,2,1,0.0240031550826552,0.0240031550826552,236
Correction,ULGZDMOVFRHVEP,erythromycin,Erythromycin,3,1,0.0239459844518338,0.0239459844518338,237
Correction,NBQNWMBBSKPBAY,iodixanol,Iodixanol,3,1,0.0237911556355035,0.0237911556355035,238
