variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,RALB,-0.0001575333797892781,0.0009731245470431309,100
standardized,NR-AR,HA1E,ARFIP2,1.1548573572366262e-05,0.00017242407811720323,100
standardized,NR-AR,HA1E,ARHGAP1,0.0001148271569983313,0.0007581042407950682,100
standardized,NR-AR,HA1E,CPNE3,-0.00028350222844148674,0.001698682617494384,100
standardized,NR-AR,HA1E,ABL1,-5.527601042540019e-05,0.0004939503247475519,100
standardized,NR-AR,HA1E,TRAK2,0.00016300566198208523,0.0008245172857344373,100
standardized,NR-AR,HA1E,PYCR1,0.0001797648264350208,0.0011067908305920178,100
standardized,NR-AR,HA1E,NUP62,5.2713658284771e-05,0.00031174694161219767,100
standardized,NR-AR,HA1E,PCM1,-6.14271433049431e-05,0.0005562688479441784,100
standardized,NR-AR,HA1E,BLMH,9.705983395127687e-05,0.0004994885147770678,100
standardized,NR-AR,HA1E,MVP,-6.499279347790947e-05,0.0006919347510116848,100
standardized,NR-AR,HA1E,NUP133,0.00012333237415827774,0.000976729981945846,100
standardized,NR-AR,HA1E,PLOD3,-8.030344062736137e-05,0.0006021121719014549,100
standardized,NR-AR,HA1E,PPP2R5A,-6.773360710438387e-05,0.00048525454901293273,100
standardized,NR-AR,HA1E,NUP93,0.00011462619849667047,0.0007623749378849683,100
standardized,NR-AR,HA1E,ARL4C,-0.00010063841265022833,0.0006006454878973752,100
standardized,NR-AR,HA1E,KIAA0907,-0.0002947746434394246,0.00151183628641644,100
standardized,NR-AR,HA1E,CRK,7.269261588546425e-05,0.00036721384863111896,100
standardized,NR-AR,HA1E,CHERP,-0.00017153176727523694,0.0009197128025060097,100
standardized,NR-AR,HA1E,PLK1,-5.514044719522606e-06,0.00011240398060832227,100
standardized,NR-AR,HA1E,TRIB1,-7.172871861144715e-05,0.00045083444668390764,100
standardized,NR-AR,HA1E,CDK4,0.00014918289824884383,0.0009879018125392607,100
standardized,NR-AR,HA1E,STXBP1,-9.561535962497106e-05,0.0006192588968244761,100
standardized,NR-AR,HA1E,VPS72,-0.0002710251077822337,0.0014751517578633258,100
standardized,NR-AR,HA1E,HSD17B10,-9.516913127364477e-05,0.0007088332937507111,100
standardized,NR-AR,HA1E,CDKN1A,-9.752988077787433e-06,0.0003908917318588667,100
standardized,NR-AR,HA1E,COL1A1,0.00011545749183196042,0.000790840042101443,100
standardized,NR-AR,HA1E,SENP6,-0.00016053750087835348,0.0008454609192725672,100
